127.0.0.1 - - [17/Sep/2020:21:11:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/ HTTP/1.1" 200 24011
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/css/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/css/adminstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/js/swiper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:05 +0900] "GET /danaa/resources/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/css/memberstyle.css HTTP/1.1" 200 16139
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/images/main1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/images/main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/images/main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/images/logo_w.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:06 +0900] "GET /danaa/resources/font/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:14 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:14 +0900] "GET /danaa/resources/images/naver_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:14 +0900] "GET /danaa/resources/images/subtit_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:14 +0900] "GET /danaa/resources/images/kakao_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:14 +0900] "GET /danaa/resources/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:22 +0900] "GET /danaa/typepage.do HTTP/1.1" 200 25298
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:23 +0900] "GET /danaa/resources/images/child.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:23 +0900] "GET /danaa/resources/images/subtit_join.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:11:23 +0900] "GET /danaa/resources/images/adult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/typepage.do HTTP/1.1" 200 25307
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/css/memberstyle.css HTTP/1.1" 200 16139
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/css/basic.css HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/css/themify-icons.css HTTP/1.1" 200 16525
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/css/swiper.min.css HTTP/1.1" 200 19777
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/js/swiper.min.js HTTP/1.1" 200 124740
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:49 +0900] "GET /danaa/resources/css/adminstyle.css HTTP/1.1" 200 8749
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/css/style.css HTTP/1.1" 200 19814
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/images/logo.png HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/images/subtit_join.png HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/images/child.png HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/images/adult.png HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/font/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/images/logo_w.png HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:12:50 +0900] "GET /danaa/resources/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:13:18 +0900] "GET /danaa/tospage.do?child=N HTTP/1.1" 200 47039
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:14:02 +0900] "GET /danaa/tospage.do?child=N HTTP/1.1" 200 47039
