127.0.0.1 - - [04/Nov/2020:23:20:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/ HTTP/1.1" 200 20760
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/swiper.min.css HTTP/1.1" 200 19777
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/basic.css HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/style.css HTTP/1.1" 200 20470
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/adminstyle.css HTTP/1.1" 200 14548
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/swstyle.css HTTP/1.1" 200 7162
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/jsstyle.css HTTP/1.1" 200 16174
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/memberstyle.css HTTP/1.1" 200 31807
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/review.css HTTP/1.1" 200 8642
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:46 +0900] "GET /danaa/resources/css/themify-icons.css HTTP/1.1" 200 16525
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/js/swiper.min.js HTTP/1.1" 200 124740
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/pupfiles/%EC%BD%94%EB%A1%9C%EB%82%98.jpg HTTP/1.1" 200 80463
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/font/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/images/sprites_main.png HTTP/1.1" 200 15778
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/images/logo.png HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/bupfiles/main3.png HTTP/1.1" 200 976298
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/bupfiles/main1.png HTTP/1.1" 200 1314202
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/pupfiles/%EC%B6%94%EC%84%9D.jpg HTTP/1.1" 200 77677
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/pupfiles/%EB%A7%88%EC%8A%A4%ED%81%AC.jpg HTTP/1.1" 200 67005
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/pupfiles/%EB%A6%AC%ED%94%84%ED%8C%85%EA%B8%B0%EA%B3%84.jpg HTTP/1.1" 200 91089
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/bupfiles/main2.png HTTP/1.1" 200 833027
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/eupfiles/event2.jpg HTTP/1.1" 200 66640
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/eupfiles/event6.jpg HTTP/1.1" 200 89054
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/eupfiles/event7.jpg HTTP/1.1" 200 169631
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/eupfiles/event1.jpg HTTP/1.1" 200 101754
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:47 +0900] "GET /danaa/resources/images/logo_w.png HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:48 +0900] "POST /danaa/ntop5.do HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:48 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:48 +0900] "POST /danaa/mainMedical.do HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_1.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_2.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_3.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_4.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_5.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_6.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_7.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_9.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/main1_8.jpg HTTP/1.1" 200 23112
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:20:49 +0900] "GET /danaa/resources/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:09 +0900] "GET /danaa/dist/images/progress_spinner_grey.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:28 +0900] "GET /danaa/enrollfp.do;jsessionid=D9DA557F8E05ECAF3CCA154EB5E595A3 HTTP/1.1" 200 12473
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:28 +0900] "GET /danaa/resources/images/sub_top_join_01.jpg HTTP/1.1" 200 32434
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:29 +0900] "GET /danaa/resources/images/enroll_logo_01.png HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:29 +0900] "GET /danaa/resources/images/enroll_logo_02.png HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:29 +0900] "GET /danaa/resources/images/kakao_enroll_logo_02.png HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:29 +0900] "GET /danaa/resources/images/naver_enroll_logo_02.png HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:23:29 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "GET /danaa/resources/images/locker_1.png HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "GET /danaa/resources/images/login.jpg HTTP/1.1" 200 60055
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "GET /danaa/resources/images/sub_top_login.jpg HTTP/1.1" 200 30866
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "GET /danaa/resources/images/kakao_logo.png HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "GET /danaa/resources/images/naver_logo.png HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:06 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:46 +0900] "GET /danaa/searchIdMove.do HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:50 +0900] "GET /danaa/searchPwdMove.do HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:52 +0900] "GET /danaa/searchIdMove.do HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:54 +0900] "GET /danaa/typepage.do HTTP/1.1" 200 12082
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:55 +0900] "GET /danaa/resources/images/child.png HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:55 +0900] "GET /danaa/resources/images/adult.png HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:55 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:24:59 +0900] "GET /danaa/tospage.do?child=N HTTP/1.1" 200 36192
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:00 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:09 +0900] "GET /danaa/enrollpage.do?child=N HTTP/1.1" 200 41351
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:09 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:27 +0900] "POST /danaa/menroll.do HTTP/1.1" 200 42449
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:27 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:35 +0900] "GET /danaa/main.do HTTP/1.1" 200 20716
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:36 +0900] "POST /danaa/mainMedical.do HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:36 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:36 +0900] "POST /danaa/ntop5.do HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:36 +0900] "GET /danaa/resources/images/main1_9.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:37 +0900] "GET /danaa/dist/images/progress_spinner_grey.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:42 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:42 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:56 +0900] "POST /danaa/login.do HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:58 +0900] "GET /danaa/loginpage.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:25:58 +0900] "POST /danaa/footer.do HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [04/Nov/2020:23:26:06 +0900] "GET /danaa/cryptall.do HTTP/1.1" 302 -
